race,distance,latitude,longitude,elevation,elevation_delta
10 km,1.6756732334607658,55.726780000000005,37.54994000000001,127.0,0.0
10 km,1.7625235193219255,55.72748000000001,37.549330000000005,127.0,0.0
10 km,1.7780627357774652,55.727610000000006,37.549240000000005,122.00000000000001,-4.999999999999986
10 km,1.8580545290084185,55.727850000000004,37.55044,121.8,-0.20000000000001705
10 km,1.9004383374360807,55.728,37.55106,121.69,-0.10999999999999943
10 km,1.9831235630953346,55.72834,37.55223,121.51,-0.1799999999999926
10 km,2.028555912853091,55.728550000000006,37.55285000000001,121.41,-0.10000000000000853
10 km,2.0872428415582247,55.728840000000005,37.553630000000005,121.37,-0.03999999999999204
10 km,2.139457315425322,55.729125001769965,37.55428999518449,121.22,-0.15000000000000568
10 km,2.191671791350474,55.72941,37.554950000000005,121.22,0.0
10 km,2.2327108880480897,55.72966,37.55543,121.22,0.0
10 km,2.3082616099545135,55.730140000000006,37.55628,121.00000000000001,-0.21999999999998465
10 km,2.3428670078481857,55.730380000000004,37.556630000000006,121.00000000000001,0.0
10 km,2.3529399513229547,55.73044,37.55651,121.00000000000001,0.0
10 km,2.4307216077956437,55.730956672278886,37.55734331123098,121.37,0.36999999999999034
10 km,2.5085032708504027,55.73147333891795,37.55817664451939,123.04,1.6700000000000017
10 km,2.5862849529931284,55.73199,37.55901,123.04,0.0
10 km,2.64822032945051,55.73237,37.55973,124.03000000000002,0.9900000000000091
10 km,2.732739487606916,55.73285501306303,37.56076496145127,125.17,1.1399999999999864
10 km,2.817258652476274,55.733340017426706,37.56179994862065,125.17,0.0
10 km,2.901777824060399,55.733825013090666,37.56283496150882,126.62,1.4500000000000028
10 km,2.9862969928548466,55.73431000000001,37.56387,120.0,-6.6200000000000045
10 km,3.049834789113906,55.73470500215122,37.5645999925894,120.0,0.0
10 km,3.113372593555097,55.7351,37.56533,120.0,0.0
10 km,3.1804752268102328,55.73554000000001,37.56606,120.0,0.0
10 km,3.264226128209451,55.736110000000004,37.566930000000006,120.0,0.0
10 km,3.3556748099617506,55.736760000000004,37.567820000000005,120.0,0.0
10 km,3.4446972071562754,55.73742000000001,37.56862,120.0,0.0
10 km,3.514672985609232,55.73796,37.569190000000006,120.9,0.9000000000000057
10 km,3.5795619474003706,55.73847000000001,37.56969,121.8,0.8999999999999915
10 km,3.6705550131704476,55.739202505036886,37.570332463830084,122.69,0.8900000000000006
10 km,3.761548089859942,55.73993500672178,37.57097495177756,124.68,1.990000000000009
10 km,3.8525411774663496,55.740667505054454,37.57161746384384,127.01,2.3299999999999983
