,pace_sec,half_pace_sec,age,time_hours,age_range,race_uniform_index,bib
7688,316.0090058063752,317.0991823675791,24,3.703888888888889,Dientes de leche(0-28),0.0001127995454126,9732
665,316.0327052968361,299.51416044555043,37,3.7041666666666666,Cancha Reglamentaria(29-39),0.0048156389242063,961
4035,316.0327052968361,315.1558241497808,29,3.7041666666666666,Cancha Reglamentaria(29-39),9.851169953622289e-05,5429
2255,316.0327052968361,293.4470908875459,32,3.7041666666666666,Cancha Reglamentaria(29-39),0.0108219903117324,3112
2421,316.0564047872971,283.6355018367105,36,3.7044444444444444,Cancha Reglamentaria(29-39),0.0211472554708261,3327
3350,316.0564047872971,315.3928190543903,40,3.7044444444444444,WTF Happened(40-49),0.0001010331818532,4511
4406,316.0564047872971,305.29683611802346,31,3.7044444444444444,Cancha Reglamentaria(29-39),0.0028520897567144,5903
2296,316.0564047872971,293.7314847730774,38,3.7044444444444444,Cancha Reglamentaria(29-39),0.0124416443691092,3165
1785,316.12750325867995,312.3118852944661,48,3.705277777777778,WTF Happened(40-49),0.0001442352824585,2471
6348,316.1512027491409,293.9684796776869,53,3.7055555555555557,Señora(50-60),0.011271280259555,8212
3673,316.1986017300628,291.26673776513803,48,3.706111111111111,WTF Happened(40-49),0.0087141588924472,4950
8786,316.1986017300628,306.2922147173836,37,3.706111111111111,Cancha Reglamentaria(29-39),0.0021489898017329,11000
418,316.2460007109848,316.53039459651615,34,3.7066666666666666,Cancha Reglamentaria(29-39),0.0002004141258368,640
720,316.2460007109848,308.85175968716675,26,3.7066666666666666,Dientes de leche(0-28),0.0014155720004258,1037
2045,316.2697002014457,296.76501955207965,44,3.7069444444444444,WTF Happened(40-49),0.0078788072834546,2833
2345,316.2697002014457,302.40549828178695,38,3.7069444444444444,Cancha Reglamentaria(29-39),0.0035408963863336,3230
5865,316.29339969190664,322.31307026898924,38,3.707222222222222,Cancha Reglamentaria(29-39),0.0015246000152386,7646
6115,316.3170991823676,316.53039459651615,32,3.7075,Cancha Reglamentaria(29-39),0.0003905075671388,7940
4507,316.34079867282856,314.44483943595213,25,3.707777777777778,Dientes de leche(0-28),3.234598047522768e-05,6014
5687,316.34079867282856,316.1512027491409,34,3.707777777777778,Cancha Reglamentaria(29-39),0.0002417790106992,7445
4577,316.3644981632895,296.5280246474701,34,3.7080555555555557,Cancha Reglamentaria(29-39),0.0063715365584175,6103
4832,316.38819765375047,302.5950942054746,33,3.7083333333333335,Cancha Reglamentaria(29-39),0.0045175263083147,6398
2626,316.4118971442114,301.8841094916459,41,3.7086111111111113,WTF Happened(40-49),0.0041214150642661,3586
8156,316.4118971442114,316.53039459651615,31,3.7086111111111113,Cancha Reglamentaria(29-39),0.0001715778392064,10297
977,316.4118971442114,311.6956985424813,36,3.7086111111111113,Cancha Reglamentaria(29-39),0.0003359006599415,1392
3052,316.4118971442114,299.7985543310819,27,3.7086111111111113,Dientes de leche(0-28),0.0052368626868257,4112
5115,316.45929612513333,313.68645574120154,46,3.7091666666666665,WTF Happened(40-49),0.0001589484449335,6739
8639,316.45929612513333,276.9996445076431,36,3.7091666666666665,Cancha Reglamentaria(29-39),0.0368411502066739,10840
7180,316.4829956155943,316.38819765375047,28,3.7094444444444443,Dientes de leche(0-28),0.0012458409148805,9155
3884,316.5066951060552,321.7442824979263,34,3.709722222222222,Cancha Reglamentaria(29-39),0.0020958519394429,5229
1136,316.5066951060552,304.25405853774146,36,3.709722222222222,Cancha Reglamentaria(29-39),0.00185564126084,1606
193,316.53039459651615,308.9465576490106,36,3.71,Cancha Reglamentaria(29-39),0.0009215300296918,355
1376,316.5540940869771,305.4390330607892,42,3.710277777777778,WTF Happened(40-49),0.0016292926979689,1934
1114,316.5540940869771,310.3685270766679,26,3.710277777777778,Dientes de leche(0-28),0.0003420033174468,1581
556,316.57779357743806,290.0343642611684,32,3.7105555555555556,Cancha Reglamentaria(29-39),0.0158468229081829,817
1470,316.57779357743806,311.1743097523403,49,3.7105555555555556,WTF Happened(40-49),0.0002184380941277,2064
1066,316.57779357743806,314.539637397796,39,3.7105555555555556,Cancha Reglamentaria(29-39),4.572566473226605e-05,1515
1296,316.57779357743806,315.7720109017656,31,3.7105555555555556,Cancha Reglamentaria(29-39),6.475927220800243e-05,1817
1300,316.57779357743806,316.2460007109848,39,3.7105555555555556,Cancha Reglamentaria(29-39),0.0001130762100756,1822
3413,316.601493067899,315.86680886360944,28,3.7108333333333334,Dientes de leche(0-28),6.421086174329749e-05,4605
1046,316.601493067899,314.6818343405617,43,3.7108333333333334,WTF Happened(40-49),4.322032734108974e-05,1487
2596,316.6488920488209,314.91882924517125,28,3.711388888888889,Dientes de leche(0-28),0.0001526537685784,3550
3029,316.6488920488209,298.3765849034246,39,3.711388888888889,Cancha Reglamentaria(29-39),0.0076684066460376,4087
8873,316.6725915392819,308.6621637634791,35,3.7116666666666664,Cancha Reglamentaria(29-39),0.0005950456880653,11104
2656,316.69629102974284,314.06564758857684,31,3.7119444444444443,Cancha Reglamentaria(29-39),9.463829831580486e-05,3621
8224,316.7199905202038,295.8644389145633,52,3.712222222222222,Señora(50-60),0.0081260686575818,10372
8629,316.74369001066475,318.6159497570802,19,3.7125,Dientes de leche(0-28),0.0004766503743681,10829
857,316.74369001066475,318.2367579097049,46,3.7125,WTF Happened(40-49),0.0005683263115013,1224
7920,316.7673895011257,316.90958644389144,34,3.7127777777777777,Cancha Reglamentaria(29-39),0.0005747986396103,9996
7382,316.79108899158666,314.3974404550302,33,3.7130555555555556,Cancha Reglamentaria(29-39),5.472462592457414e-05,9388
3167,316.79108899158666,316.4355966346724,26,3.7130555555555556,Dientes de leche(0-28),0.0001001572300096,4265
8717,316.79108899158666,310.27372911482405,75,3.7130555555555556,Fruta para Pan(70+),0.0005082410854256,10923
8800,316.79108899158666,313.16506695106057,33,3.7130555555555556,Cancha Reglamentaria(29-39),8.200649951878155e-05,11016
782,316.8621874629696,310.6055219812774,33,3.713888888888889,Cancha Reglamentaria(29-39),0.0004552707272665,1118
1972,316.8621874629696,303.3534779002252,43,3.713888888888889,WTF Happened(40-49),0.0031150315312588,2731
2338,316.8858869534305,317.0517833866572,23,3.714166666666667,Dientes de leche(0-28),0.000118172821789,3221
510,316.8858869534305,309.89453726744875,32,3.714166666666667,Cancha Reglamentaria(29-39),0.0004810565490699,751
1773,316.8858869534305,301.0309278350516,36,3.714166666666667,Cancha Reglamentaria(29-39),0.0044612975327765,2456
4641,316.8858869534305,318.6633487380021,27,3.714166666666667,Dientes de leche(0-28),0.0007750207082372,6174
5810,316.8858869534305,305.62862898447685,26,3.714166666666667,Dientes de leche(0-28),0.0047422181432431,7584
7703,316.90958644389144,307.145396373978,33,3.7144444444444447,Cancha Reglamentaria(29-39),0.0009917929437843,9751
1099,316.9569854248133,301.836710510724,30,3.715,Cancha Reglamentaria(29-39),0.0047505940395936,1562
7674,316.9806849152743,324.1142315440218,43,3.7152777777777777,WTF Happened(40-49),0.0017795286173547,9716
4360,316.9806849152743,319.84832326104987,41,3.7152777777777777,WTF Happened(40-49),0.0018117615087885,5849
678,317.00438440573527,316.7199905202038,42,3.7155555555555555,WTF Happened(40-49),0.0001135332149464,977
2725,317.00438440573527,315.8194098826875,44,3.7155555555555555,WTF Happened(40-49),6.91842693963035e-05,3708
2326,317.0280838961962,312.69107714184145,30,3.7158333333333333,Cancha Reglamentaria(29-39),0.0001735825919147,3206
5985,317.0517833866572,310.88991586680885,30,3.716111111111111,Cancha Reglamentaria(29-39),0.0006138305061745,7796
5153,317.0517833866572,316.2460007109848,50,3.716111111111111,Señora(50-60),5.160361553271426e-05,6782
3364,317.07548287711813,316.1512027491409,25,3.716388888888889,Dientes de leche(0-28),8.011216653050283e-05,4528
444,317.07548287711813,314.539637397796,38,3.716388888888889,Cancha Reglamentaria(29-39),4.6905931782936906e-05,672
5666,317.07548287711813,316.4829956155943,29,3.716388888888889,Cancha Reglamentaria(29-39),0.0002932601682586,7417
1975,317.0991823675791,316.0564047872971,41,3.716666666666667,WTF Happened(40-49),4.707501974658098e-05,2737
4444,317.0991823675791,316.103803768219,50,3.716666666666667,Señora(50-60),9.331344279246188e-05,5943
1635,317.0991823675791,310.795117904965,32,3.716666666666667,Cancha Reglamentaria(29-39),0.0003225149130943,2273
1379,317.0991823675791,315.48761701623414,40,3.716666666666667,WTF Happened(40-49),7.301250713093085e-05,1938
5172,317.12288185804005,295.58004502903185,25,3.7169444444444446,Dientes de leche(0-28),0.0094898941139065,6806
3777,317.12288185804005,313.16506695106057,35,3.7169444444444446,Cancha Reglamentaria(29-39),0.0001305973077821,5088
7968,317.146581348501,315.6772129399218,30,3.7172222222222224,Cancha Reglamentaria(29-39),3.9231837152791287e-05,10048
3314,317.1939803294229,312.1696883517004,42,3.7177777777777776,WTF Happened(40-49),0.0003105641880497,4464
6887,317.21767981988387,307.71418414504086,27,3.7180555555555554,Dientes de leche(0-28),0.0018184628261498,8829
5876,317.21767981988387,313.4020618556701,48,3.7180555555555554,WTF Happened(40-49),0.000131347424049,7662
38,317.21767981988387,316.4829956155943,33,3.7180555555555554,Cancha Reglamentaria(29-39),6.261322408354717e-05,160
6307,317.2413793103448,300.4621400639886,25,3.7183333333333333,Dientes de leche(0-28),0.0045034199531078,8167
896,317.2413793103448,312.4540822372319,47,3.7183333333333333,WTF Happened(40-49),0.0002382380994263,1279
1213,317.2650788008058,317.4309752340325,39,3.718611111111111,Cancha Reglamentaria(29-39),0.0005084471970913,1714
8435,317.2650788008058,316.53039459651615,32,3.718611111111111,Cancha Reglamentaria(29-39),6.172184165832946e-05,10612
6459,317.2650788008058,296.29102974286053,42,3.718611111111111,WTF Happened(40-49),0.0109628840155251,8343
1712,317.28877829126674,307.1927953548999,34,3.718888888888889,Cancha Reglamentaria(29-39),0.001161287527149,2370
7649,317.28877829126674,304.3488564995853,43,3.718888888888889,WTF Happened(40-49),0.0033787480946151,9687
88,317.28877829126674,299.51416044555043,39,3.718888888888889,Cancha Reglamentaria(29-39),0.0053283726827241,216
6628,317.3124777817277,308.5673658016353,32,3.7191666666666667,Cancha Reglamentaria(29-39),0.0014216060296419,8525
6802,317.3124777817277,307.1927953548999,37,3.7191666666666667,Cancha Reglamentaria(29-39),0.0011677306603483,8733
7795,317.3124777817277,296.1488328000948,30,3.7191666666666667,Cancha Reglamentaria(29-39),0.0095395637449357,9856
273,317.33617727218865,299.94075127384764,38,3.7194444444444446,Cancha Reglamentaria(29-39),0.0069646102512645,457
6706,317.33617727218865,313.5916577793577,35,3.7194444444444446,Cancha Reglamentaria(29-39),0.0002136993890729,8619
1753,317.3598767626496,300.0355492356914,46,3.7197222222222224,WTF Happened(40-49),0.0069805580263682,2430
5862,317.3598767626496,295.2008531816566,49,3.7197222222222224,WTF Happened(40-49),0.0106915618145417,7643
8240,317.38357625311056,293.92108069676505,23,3.72,Dientes de leche(0-28),0.0129367795180834,10388
77,317.38357625311056,316.1512027491409,32,3.72,Cancha Reglamentaria(29-39),5.555655953039112e-05,205
138,317.4072757435715,317.66797013864203,49,3.7202777777777776,WTF Happened(40-49),0.0002351820226242,281
7950,317.4072757435715,298.5187818461903,36,3.7202777777777776,Cancha Reglamentaria(29-39),0.0073941392985546,10029
1368,317.4072757435715,310.7003199431212,37,3.7202777777777776,Cancha Reglamentaria(29-39),0.0004621980660538,1923
3694,317.4309752340325,297.2864083422206,37,3.7205555555555554,Cancha Reglamentaria(29-39),0.008210969051785,4976
612,317.45467472449343,315.53501599715605,51,3.720833333333333,Señora(50-60),0.0001424154376162,891
6003,317.45467472449343,306.1500177746178,27,3.720833333333333,Dientes de leche(0-28),0.0016300364275917,7817
